CTD,20180202CCHSIO
# SHIP: Ronald H. Brown
# Cruise: P18
# DATES: 20161119 to 20170203
# Region: SE Pacific on 110W and 103W
# Ports: San Diego to Easter Island,  Easter Island to Punta Arenas
# Chief Scientist: Leg1: Brendan Carter/PMOEL; Leg2: Rolf Sonnerup/JISAO 
# CTDO: Who - G.Johnson,M.Barringer; Status - final
# Transmissometer (CTDXMISS): Who - W.Gardner, TAMU; Status - final
#        Instrument: Wetlabs C-Star Transmissometer, SN:CST1830DR
# FLBB (CTDFLUOR,CTDBBP700RAW): Who - E.Boss, UMaine; Status - final
#        Instrument: Wetlabs FLBBRTD, SN:3698
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# CTDFLUOR: Changed parameter name from CTDSTIMF to CTDFLUOR
# DEPTH: rounded float value to nearest integer
# Original file name: p18_0091_ct1.csv 
# CTD,20170628PMELNOAAKEM - Previous Time Stamp. Previous comments below. 
#    CODE:  ctd_to_csv.m KEM 6/28/17
#    SUMFILE_NAME:  p18_kem.sum 6/28/17
#    CTDFILE_NAME:  rh10091.ctd
#    DEPTH_TYPE:  CORR
#    EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20161119
SECT_ID = P18
STNNBR = 9
CASTNO = 1
DATE = 20161126
TIME = 0601
LATITUDE = 20.0002
LONGITUDE = -110
DEPTH = 2570
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDXMISS,CTDFLUOR,CTDBBP700RAW
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,0-5VDC,0-5VDC,0-5VDC
       3.0,2,   28.1066,3,   34.4737,3,     193.8,3,        34,     4.660,  -999.000,  -999.000
       4.0,2,   28.1147,3,   34.4732,3,     194.9,3,        27,     4.659,  -999.000,  -999.000
       5.0,2,   28.1168,2,   34.4733,2,     196.0,2,        44,     4.659,  -999.000,  -999.000
       6.0,2,   28.1177,2,   34.4737,2,     196.2,2,        41,     4.660,  -999.000,  -999.000
       7.0,2,   28.1181,2,   34.4745,2,     195.9,2,        36,     4.660,  -999.000,  -999.000
       8.0,2,   28.1176,2,   34.4738,2,     195.3,2,        55,     4.659,  -999.000,  -999.000
       9.0,2,   28.1181,2,   34.4742,2,     195.2,2,        59,     4.660,  -999.000,  -999.000
      10.0,2,   28.1170,2,   34.4740,2,     194.4,2,        49,     4.660,  -999.000,  -999.000
      11.0,2,   28.1157,2,   34.4735,2,     194.8,2,        43,     4.659,  -999.000,  -999.000
      12.0,2,   28.1159,2,   34.4734,2,     195.3,2,        41,     4.660,  -999.000,  -999.000
      13.0,2,   28.1169,2,   34.4735,2,     195.3,2,        53,     4.660,  -999.000,  -999.000
      14.0,2,   28.1175,2,   34.4768,2,     195.1,2,        46,     4.659,  -999.000,  -999.000
      15.0,2,   28.1222,2,   34.4859,2,     194.5,2,        57,     4.660,  -999.000,  -999.000
      16.0,2,   28.1225,2,   34.4922,2,     196.0,2,        45,     4.659,  -999.000,  -999.000
      17.0,2,   28.1184,2,   34.5016,2,     196.0,2,        29,     4.659,  -999.000,  -999.000
      18.0,2,   28.0780,2,   34.5092,2,     195.8,2,        34,     4.659,  -999.000,  -999.000
      19.0,2,   28.0413,2,   34.5084,2,     197.3,2,        39,     4.659,  -999.000,  -999.000
      20.0,2,   27.9594,2,   34.4971,2,     197.7,2,        37,     4.658,  -999.000,  -999.000
      21.0,2,   27.9511,2,   34.4953,2,     197.3,2,        56,     4.659,  -999.000,  -999.000
