CTD,20180202CCHSIO
# SHIP: Ronald H. Brown
# Cruise: P18
# DATES: 20161119 to 20170203
# Region: SE Pacific on 110W and 103W
# Ports: San Diego to Easter Island,  Easter Island to Punta Arenas
# Chief Scientist: Leg1: Brendan Carter/PMOEL; Leg2: Rolf Sonnerup/JISAO 
# CTDO: Who - G.Johnson,M.Barringer; Status - final
# Transmissometer (CTDXMISS): Who - W.Gardner, TAMU; Status - final
#        Instrument: Wetlabs C-Star Transmissometer, SN:CST1830DR
# FLBB (CTDFLUOR,CTDBBP700RAW): Who - E.Boss, UMaine; Status - final
#        Instrument: Wetlabs FLBBRTD, SN:3698
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# CTDFLUOR: Changed parameter name from CTDSTIMF to CTDFLUOR
# DEPTH: rounded float value to nearest integer
# Original file name: p18_0202_ct1.csv 
# CTD,20170628PMELNOAAKEM - Previous Time Stamp. Previous comments below. 
#    CODE:  ctd_to_csv.m KEM 6/28/17
#    SUMFILE_NAME:  p18_kem.sum 6/28/17
#    CTDFILE_NAME:  rh10202.ctd
#    DEPTH_TYPE:  CORR
#    EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20161119
SECT_ID = P18
STNNBR = 20
CASTNO = 2
DATE = 20161129
TIME = 0348
LATITUDE = 14.4988
LONGITUDE = -109.9998
DEPTH = 3549
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDXMISS,CTDFLUOR,CTDBBP700RAW
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,0-5VDC,0-5VDC,0-5VDC
       3.0,2,   29.5579,3,   33.4883,3,     193.3,3,        46,     4.648,  -999.000,  -999.000
       4.0,2,   29.5579,3,   33.4884,3,     193.6,3,        47,     4.649,  -999.000,  -999.000
       5.0,2,   29.5592,2,   33.4883,2,     194.4,2,        42,     4.649,  -999.000,  -999.000
       6.0,2,   29.5648,2,   33.4879,2,     195.1,2,        38,     4.649,  -999.000,  -999.000
       7.0,2,   29.5606,2,   33.4883,2,     194.3,2,        44,     4.650,  -999.000,  -999.000
       8.0,2,   29.5586,2,   33.4884,2,     194.3,2,        30,     4.649,  -999.000,  -999.000
       9.0,2,   29.5591,2,   33.4884,2,     195.0,2,        38,     4.649,  -999.000,  -999.000
      10.0,2,   29.5601,2,   33.4883,2,     193.6,2,        41,     4.641,  -999.000,  -999.000
      11.0,2,   29.5581,2,   33.4887,2,     193.8,2,        29,     4.649,  -999.000,  -999.000
      12.0,2,   29.5514,2,   33.4891,2,     193.9,2,        52,     4.649,  -999.000,  -999.000
      13.0,2,   29.5527,2,   33.4890,2,     194.0,2,        60,     4.649,  -999.000,  -999.000
      14.0,2,   29.5552,2,   33.4888,2,     194.4,2,        43,     4.649,  -999.000,  -999.000
      15.0,2,   29.5537,2,   33.4890,2,     194.9,2,        46,     4.649,  -999.000,  -999.000
      16.0,2,   29.5521,2,   33.4889,2,     194.5,2,        48,     4.648,  -999.000,  -999.000
      17.0,2,   29.5479,2,   33.4891,2,     194.8,2,        58,     4.649,  -999.000,  -999.000
      18.0,2,   29.5434,2,   33.4893,2,     195.1,2,        49,     4.649,  -999.000,  -999.000
      19.0,2,   29.5202,2,   33.4902,2,     194.4,2,        39,     4.647,  -999.000,  -999.000
      20.0,2,   29.5115,2,   33.4916,2,     194.5,2,        55,     4.643,  -999.000,  -999.000
      21.0,2,   29.5029,2,   33.4930,2,     194.6,2,        65,     4.648,  -999.000,  -999.000
      22.0,2,   29.4942,2,   33.4944,2,     194.7,2,        53,     4.646,  -999.000,  -999.000
      23.0,2,   29.4937,2,   33.4957,2,     194.8,2,        36,     4.646,  -999.000,  -999.000
      24.0,2,   29.4928,2,   33.4964,2,     195.0,2,        32,     4.644,  -999.000,  -999.000
      25.0,2,   29.4909,2,   33.4965,2,     195.0,2,        42,     4.645,  -999.000,  -999.000
      26.0,2,   29.4898,2,   33.4966,2,     194.7,2,        37,     4.645,  -999.000,  -999.000
      27.0,2,   29.4893,2,   33.4967,2,     194.4,2,        29,     4.645,  -999.000,  -999.000
      28.0,2,   29.4889,2,   33.4973,2,     194.6,2,        38,     4.644,  -999.000,  -999.000
      29.0,2,   29.4866,2,   33.4969,2,     195.0,2,        66,     4.644,  -999.000,  -999.000
      30.0,2,   29.4844,2,   33.4972,2,     194.5,2,        47,     4.643,  -999.000,  -999.000
      31.0,2,   29.4843,2,   33.4979,2,     193.8,2,        47,     4.642,  -999.000,  -999.000
      32.0,2,   29.4822,2,   33.4986,2,     194.4,2,        54,     4.642,  -999.000,  -999.000
      33.0,2,   29.4815,2,   33.5022,2,     195.0,2,        49,     4.642,  -999.000,  -999.000
      34.0,2,   29.4830,2,   33.5060,2,     195.4,2,        44,     4.641,  -999.000,  -999.000
      35.0,2,   29.4694,2,   33.5472,2,     195.1,2,        42,     4.641,  -999.000,  -999.000
      36.0,2,   29.4045,2,   33.6806,2,     195.9,2,        41,     4.635,  -999.000,  -999.000
      37.0,2,   29.2715,2,   33.8258,2,     199.1,2,        47,     4.623,  -999.000,  -999.000
      38.0,2,   28.8379,2,   34.0181,2,     201.2,2,        27,     4.614,  -999.000,  -999.000
      39.0,2,   28.4395,2,   34.0623,2,     204.4,2,        27,     4.604,  -999.000,  -999.000
      40.0,2,   28.0682,2,   34.0813,2,     201.1,2,        49,     4.593,  -999.000,  -999.000
      41.0,2,   26.9840,2,   34.1880,2,     200.7,2,        29,     4.586,  -999.000,  -999.000
      42.0,2,   25.9391,2,   34.2776,2,     198.9,2,        35,     4.514,  -999.000,  -999.000
      43.0,2,   25.8050,2,   34.2775,2,     180.5,2,        36,     4.489,  -999.000,  -999.000
      44.0,2,   25.3869,2,   34.2971,2,     175.8,2,        27,     4.483,  -999.000,  -999.000
      45.0,2,   25.1586,2,   34.3026,2,     172.1,2,        25,     4.486,  -999.000,  -999.000
      46.0,2,   24.7643,2,   34.3278,2,     165.1,2,        35,     4.485,  -999.000,  -999.000
      47.0,2,   24.7139,2,   34.3331,2,     152.8,2,        49,     4.490,  -999.000,  -999.000
      48.0,2,   23.7476,2,   34.3855,2,     153.9,2,        39,     4.510,  -999.000,  -999.000
      49.0,2,   23.5877,2,   34.3977,2,     141.7,2,        48,     4.524,  -999.000,  -999.000
      50.0,2,   23.5667,2,   34.4042,2,     141.5,2,        32,     4.531,  -999.000,  -999.000
      51.0,2,   23.0463,2,   34.4396,2,     143.1,2,        22,     4.547,  -999.000,  -999.000
      52.0,2,   22.9400,2,   34.4451,2,     145.1,2,        20,     4.548,  -999.000,  -999.000
      53.0,2,   22.4750,2,   34.4628,2,     150.1,2,        24,     4.551,  -999.000,  -999.000
      54.0,2,   22.2542,2,   34.4630,2,     152.3,2,        36,     4.558,  -999.000,  -999.000
      55.0,2,   22.0334,2,   34.4629,2,     154.0,2,        48,     4.558,  -999.000,  -999.000
      56.0,2,   21.8126,2,   34.4627,2,     155.2,2,        35,     4.572,  -999.000,  -999.000
      57.0,2,   21.6877,2,   34.4586,2,     151.8,2,        38,     4.593,  -999.000,  -999.000
      58.0,2,   21.3544,2,   34.4630,2,     149.9,2,        44,     4.599,  -999.000,  -999.000
      59.0,2,   21.0045,2,   34.4891,2,     145.2,2,        29,     4.597,  -999.000,  -999.000
