CTD,20180202CCHSIO
# SHIP: Ronald H. Brown
# Cruise: P18
# DATES: 20161119 to 20170203
# Region: SE Pacific on 110W and 103W
# Ports: San Diego to Easter Island,  Easter Island to Punta Arenas
# Chief Scientist: Leg1: Brendan Carter/PMOEL; Leg2: Rolf Sonnerup/JISAO 
# CTDO: Who - G.Johnson,M.Barringer; Status - final
# Transmissometer (CTDXMISS): Who - W.Gardner, TAMU; Status - final
#        Instrument: Wetlabs C-Star Transmissometer, SN:CST1830DR
# FLBB (CTDFLUOR,CTDBBP700RAW): Who - E.Boss, UMaine; Status - final
#        Instrument: Wetlabs FLBBRTD, SN:3698
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# CTDFLUOR: Changed parameter name from CTDSTIMF to CTDFLUOR
# DEPTH: rounded float value to nearest integer
# Original file name: p18_0031_ct1.csv 
# CTD,20170628PMELNOAAKEM - Previous Time Stamp. Previous comments below. 
#    CODE:  ctd_to_csv.m KEM 6/28/17
#    SUMFILE_NAME:  p18_kem.sum 6/28/17
#    CTDFILE_NAME:  rh10031.ctd
#    DEPTH_TYPE:  CORR
#    EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20161119
SECT_ID = P18
STNNBR = 3
CASTNO = 1
DATE = 20161124
TIME = 2137
LATITUDE = 22.7705
LONGITUDE = -110
DEPTH = 1256
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDXMISS,CTDFLUOR,CTDBBP700RAW
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,0-5VDC,0-5VDC,0-5VDC
         3,2,   27.5694,2,   34.4846,2,     122.2,4,        40,     4.668,      -999,      -999
         4,2,   27.5592,2,   34.4878,2,       139,4,        46,     4.668,      -999,      -999
         5,2,   27.5489,2,   34.4912,2,     155.7,4,        62,     4.668,      -999,      -999
         6,2,   27.5387,2,   34.4944,2,     172.1,4,        61,     4.668,      -999,      -999
         7,2,   27.5054,2,   34.4907,2,     187.6,4,        42,     4.666,      -999,      -999
         8,2,   27.4796,2,   34.4875,2,     191.5,4,        56,     4.665,      -999,      -999
         9,2,   27.4701,2,   34.4868,2,     194.6,2,        45,     4.664,      -999,      -999
        10,2,   27.4636,2,   34.4863,2,     196.4,2,        45,     4.665,      -999,      -999
        11,2,   27.4525,2,    34.486,2,     196.1,2,        36,     4.664,      -999,      -999
        12,2,   27.4399,2,   34.4855,2,     195.4,2,        26,     4.664,      -999,      -999
        13,2,   27.4234,2,   34.4847,2,     196.1,2,        28,     4.664,      -999,      -999
        14,2,   27.4099,2,   34.4845,2,     196.4,2,        41,     4.664,      -999,      -999
        15,2,   27.4014,2,   34.4838,2,     196.3,2,        41,     4.664,      -999,      -999
        16,2,    27.392,2,   34.4829,2,     195.8,2,        42,     4.664,      -999,      -999
        17,2,   27.3827,2,   34.4828,2,     196.3,2,        70,     4.662,      -999,      -999
        18,2,   27.3734,2,    34.482,2,     196.5,2,        38,     4.662,      -999,      -999
        19,2,   27.3675,2,   34.4818,2,     196.4,2,        30,     4.662,      -999,      -999
        20,2,   27.3615,2,   34.4815,2,     196.8,2,        39,     4.661,      -999,      -999
        21,2,   27.3515,2,   34.4808,2,     197.5,2,        64,      4.66,      -999,      -999
        22,2,   27.3404,2,   34.4803,2,     197.2,2,        53,      4.66,      -999,      -999
        23,2,   27.3272,2,   34.4798,2,     197.3,2,        35,      4.66,      -999,      -999
        24,2,   27.3127,2,   34.4794,2,     197.3,2,        38,     4.659,      -999,      -999
        25,2,   27.3006,2,   34.4795,2,     197.2,2,        42,     4.658,      -999,      -999
        26,2,   27.2792,2,   34.4796,2,     197.5,2,        61,     4.658,      -999,      -999
        27,2,   27.2455,2,   34.4794,2,     197.6,2,        65,     4.658,      -999,      -999
        28,2,   27.1985,2,    34.478,2,     198.4,2,        36,     4.658,      -999,      -999
        29,2,   27.0991,2,   34.4694,2,       199,2,        31,     4.657,      -999,      -999
        30,2,   26.9584,2,   34.4515,2,     199.3,2,        45,     4.655,      -999,      -999
        31,2,   26.8376,2,   34.4358,2,     200.3,2,        57,     4.653,      -999,      -999
        32,2,   26.7009,2,   34.4149,2,     201.1,2,        48,     4.652,      -999,      -999
        33,2,   26.5099,2,   34.3771,2,     200.6,2,        60,     4.651,      -999,      -999
        34,2,   26.3705,2,   34.3759,2,       202,2,        35,     4.651,      -999,      -999
        35,2,   26.2694,2,   34.3525,2,     203.2,2,        34,     4.649,      -999,      -999
        36,2,   26.1443,2,   34.3172,2,     203.8,2,        47,     4.648,      -999,      -999
        37,2,   25.6235,2,   34.1898,2,     207.2,2,        60,     4.644,      -999,      -999
        38,2,   24.2799,2,   33.9276,2,     214.8,2,        44,     4.641,      -999,      -999
        39,2,   23.7026,2,   33.8275,2,     217.2,2,        38,     4.642,      -999,      -999
        40,2,   23.5709,2,   33.8086,2,     220.4,2,        56,     4.644,      -999,      -999
        41,2,    23.485,2,   33.7963,2,     221.5,2,        49,     4.645,      -999,      -999
        42,2,   22.9423,2,   33.7033,2,     222.2,2,        36,     4.645,      -999,      -999
        43,2,   22.6518,2,   33.6534,2,     223.4,2,        39,     4.645,      -999,      -999
        44,2,   22.4864,2,    33.622,2,     225.4,2,        60,     4.646,      -999,      -999
        45,2,   22.3352,2,   33.6038,2,     225.6,2,        54,     4.645,      -999,      -999
        46,2,   22.2552,2,   33.5932,2,       226,2,        32,     4.643,      -999,      -999
        47,2,   22.0717,2,   33.5599,2,     227.3,2,        38,     4.643,      -999,      -999
        48,2,   21.8261,2,   33.5416,2,     229.9,2,        47,     4.641,      -999,      -999
        49,2,   21.5231,2,    33.516,2,     232.5,2,        31,     4.641,      -999,      -999
        50,2,   21.3727,2,   33.5337,2,     233.5,2,        32,     4.639,      -999,      -999
        51,2,    21.294,2,   33.5479,2,     235.6,2,        54,     4.639,      -999,      -999
        52,2,   21.2592,2,   33.5593,2,     238.4,2,        34,     4.641,      -999,      -999
        53,2,   21.1977,2,   33.5806,2,     239.4,2,        30,     4.641,      -999,      -999
        54,2,     21.03,2,   33.6006,2,       240,2,        37,     4.641,      -999,      -999
        55,2,   20.8355,2,   33.6202,2,       243,2,        57,     4.642,      -999,      -999
        56,2,   20.6978,2,   33.6141,2,     246.4,2,        40,     4.645,      -999,      -999
        57,2,   20.4612,2,   33.5971,2,     248.7,2,        61,     4.647,      -999,      -999
        58,2,   20.0989,2,    33.561,2,     249.9,2,        51,     4.649,      -999,      -999
        59,2,   19.6379,2,   33.4893,2,     251.6,2,        39,     4.652,      -999,      -999
        60,2,   19.0637,2,   33.4112,2,     253.5,2,        45,     4.652,      -999,      -999
        61,2,   18.6664,2,   33.3732,2,     255.1,2,        43,     4.654,      -999,      -999
        62,2,   18.4448,2,   33.3675,2,       258,2,        41,     4.654,      -999,      -999
        63,2,   18.2435,2,   33.3636,2,     258.3,2,        57,     4.656,      -999,      -999
        64,2,   18.1053,2,   33.3615,2,     257.8,2,        61,     4.656,      -999,      -999
        65,2,   17.9254,2,    33.365,2,     257.1,2,        32,     4.655,      -999,      -999
        66,2,   17.8593,2,   33.3645,2,     256.9,2,        30,     4.657,      -999,      -999
        67,2,   17.7819,2,   33.3636,2,     256.8,2,        23,     4.658,      -999,      -999
        68,2,    17.698,2,   33.3667,2,     256.7,2,        22,     4.657,      -999,      -999
        69,2,   17.6688,2,   33.3713,2,     256.5,2,        23,     4.656,      -999,      -999
        70,2,   17.5754,2,   33.3778,2,       256,2,        40,     4.654,      -999,      -999
        71,2,   17.5184,2,   33.3777,2,     254.4,2,        59,     4.653,      -999,      -999
        72,2,   17.4274,2,   33.3788,2,     253.9,2,        26,      4.65,      -999,      -999
        73,2,   17.2722,2,   33.3713,2,     254.2,2,        24,     4.653,      -999,      -999
        74,2,   17.1054,2,   33.3714,2,     254.4,2,        27,     4.654,      -999,      -999
        75,2,   16.9894,2,   33.3929,2,     253.7,2,        31,     4.654,      -999,      -999
        76,2,   16.8821,2,   33.4619,2,     252.2,2,        31,      4.65,      -999,      -999
        77,2,   16.9564,2,    33.517,2,     249.3,2,        29,     4.646,      -999,      -999
        78,2,   17.0234,2,   33.5479,2,     245.5,2,        35,     4.644,      -999,      -999
        79,2,   17.0584,2,   33.5636,2,     242.4,2,        39,     4.644,      -999,      -999
        80,2,   17.0998,2,   33.5838,2,     240.3,2,        35,     4.644,      -999,      -999
        81,2,   17.1452,2,   33.6193,2,     239.5,2,        33,     4.643,      -999,      -999
        82,2,   17.1274,2,   33.6418,2,     238.7,2,        33,     4.645,      -999,      -999
        83,2,   17.0254,2,   33.6533,2,     237.3,2,        29,     4.646,      -999,      -999
        84,2,   16.8787,2,   33.6536,2,     236.2,2,        27,     4.643,      -999,      -999
        85,2,   16.6681,2,   33.6548,2,     234.5,2,        28,     4.639,      -999,      -999
        86,2,   16.3511,2,   33.6661,2,       232,2,        30,     4.635,      -999,      -999
        87,2,   16.1408,2,   33.6705,2,     227.4,2,        33,     4.633,      -999,      -999
        88,2,   16.0638,2,   33.6738,2,     220.3,2,        35,     4.633,      -999,      -999
        89,2,   16.0464,2,   33.6763,2,     213.9,2,        38,     4.636,      -999,      -999
        90,2,   16.0002,2,     33.68,2,     210.2,2,        36,     4.636,      -999,      -999
        91,2,   15.8204,2,   33.6916,2,     208.6,2,        30,     4.638,      -999,      -999
        92,2,   15.6135,2,   33.7054,2,     206.9,2,        25,     4.644,      -999,      -999
        93,2,   15.3405,2,   33.6886,2,     203.6,2,        25,     4.649,      -999,      -999
        94,2,   15.0406,2,   33.6626,2,     197.6,2,        33,     4.655,      -999,      -999
        95,2,   14.8648,2,   33.6371,2,     190.6,2,        31,      4.66,      -999,      -999
        96,2,   14.5597,2,   33.5954,2,     188.8,2,        29,     4.662,      -999,      -999
        97,2,   14.0972,2,    33.541,2,     190.1,2,        41,     4.665,      -999,      -999
        98,2,   13.8456,2,   33.5085,2,     191.7,2,        46,     4.668,      -999,      -999
        99,2,   13.7837,2,   33.4996,2,     193.7,2,        30,     4.669,      -999,      -999
       100,2,   13.7692,2,   33.5092,2,     194.2,2,        25,      4.67,      -999,      -999
       101,2,   13.7727,2,   33.5146,2,     193.9,2,        23,     4.671,      -999,      -999
       102,2,   13.7648,2,   33.5164,2,     192.2,2,        22,     4.671,      -999,      -999
       103,2,   13.7351,2,   33.5336,2,       190,2,        24,     4.671,      -999,      -999
       104,2,   13.7602,2,   33.6116,2,     186.7,2,        36,     4.673,      -999,      -999
       105,2,   13.8253,2,   33.6837,2,     174.1,2,        56,     4.678,      -999,      -999
       106,2,   13.8816,2,   33.7503,2,     159.7,2,        28,     4.679,      -999,      -999
       107,2,   13.8637,2,   33.7651,2,     154.5,2,        22,     4.681,      -999,      -999
       108,2,    13.862,2,   33.7849,2,     149.1,2,        21,     4.682,      -999,      -999
       109,2,   13.8615,2,   33.7922,2,     143.4,2,        26,     4.683,      -999,      -999
       110,2,   13.8042,2,   33.8298,2,     137.6,2,        31,     4.684,      -999,      -999
       111,2,   13.6264,2,   33.9124,2,     132.9,2,        32,     4.686,      -999,      -999
       112,2,    13.493,2,   33.9303,2,     126.5,2,        33,      4.69,      -999,      -999
       113,2,   13.4585,2,    33.932,2,     117.1,2,        34,     4.691,      -999,      -999
       114,2,   13.4288,2,   33.9361,2,     110.4,2,        47,     4.691,      -999,      -999
       115,2,   13.3877,2,   33.9414,2,     107.3,2,        40,     4.692,      -999,      -999
       116,2,   13.3645,2,   33.9466,2,     107.3,2,        25,     4.692,      -999,      -999
       117,2,    13.361,2,   33.9484,2,     107.5,2,        22,     4.693,      -999,      -999
       118,2,   13.3554,2,   33.9512,2,     107.4,2,        21,     4.692,      -999,      -999
